Tipo;Bairro;Número de quartos ;Numero de banheiros;Garagem;Valor do Aluguel;Mobiliado;Área externa;Área de serviço
Casa;Água Limpa;3;2;1;R$ 2.000,00;Não;Sim;Sim
Casa;Água Limpa;2;1;0;R$ 1.100,00;Não;Não;Sim
Casa;Água Limpa;4;3;1;R$ 2.800,00;Não;Sim;Sim
Casa;Água Limpa;3;2;1;R$ 1.800,00;Não;Não;Sim
Casa;Água Limpa;2;1;0;R$ 1.300,00;Não;Sim;Sim
Casa;Água Limpa;2;1;0;R$ 1.000,00;Não;Não;Sim
Casa;Água Limpa;3;1;0;R$ 1.500,00;Não;Sim;Sim
Casa;Água Limpa;2;1;0;R$ 1.200,00;Não;Não;Sim
Casa;Alto da Cruz;3;1;0;R$ 2.000,00;Não;Não;Sim
Casa;Alto da Cruz;3;2;1;R$ 2.300,00;Não;Sim;Sim
Casa;Alto da Cruz;4;3;1;R$ 3.000,00;Não;Sim;Sim
Casa;Alto da Cruz;2;1;1;R$ 1.500,00;Não;Sim;Sim
Casa;Alto da Cruz;2;1;0;R$ 1.000,00;Não;Não;Sim
Casa;Alto da Cruz;2;1;0;R$ 8000,00;Não;Não;Sim
Casa;Antonio Dias;4;2;1;R$ 5.000,00;Não;Sim;Não
Casa;Antonio Dias;4;1;0;R$ 2.200,00;Não;Sim;Sim
Casa;Antonio Dias;4;2;0;R$ 1.900,00;Não;Sim;Sim
Casa;Antônio Dias;5;3;1;R$ 4.000,00;Não;Não;Sim
Casa;Barra;2;1;0;R$ 1.600,00;Não;Sim;Sim
Casa;Barra;3;2;1;R$ 2.800,00;Não;Sim;Sim
Casa;Barra;2;1;0;R$ 1.400,00;Não;Não;Sim
Casa;Barra;4;3;1;R$ 3.000,00;Não;Sim;Sim
Casa;Barra;5;4;1;R$ 3.500,00;Não;Sim;Sim
Casa;Barra;3;1;0;R$ 1.800,00;Não;Sim;Sim
Casa;Barra;6;3;1;R$ 4.000,00;Não;Sim;Sim
Casa;Bauxita;6;4;1;R$ 6.500,00;Não;Sim;Sim
Casa;Bauxita;3;2;0;R$ 2.000,00;Não;Não;Sim
Casa;Bauxita;3;3;1;R$ 3.000,00;Não;Sim;Sim
Casa;Bauxita;4;3;1;R$ 6.000,00;Não;Sim;Sim
Casa;Bauxita;1;1;0;R$ 1.100,00;Não;Sim;Sim
Casa;Bauxita;5;4;1;R$ 3.000,00;Não;Sim;Sim
Casa;Cabeças;2;1;0;R$ 1.500,00;Não;Sim;Sim
Casa;Cabeças;8;8;1;R$ 8.000,00;Não;Não;Sim
Casa;Cabeças;7;8;1;R$ 10.000,00;Sim;Sim;Sim
Casa;Centro;2;1;0;R$ 2.300,00;Não;Sim;Sim
Casa;Centro;4;1;0;R$ 1.990,00;Não;Sim;Sim
Casa;Centro;1;1;1;R$ 1.800,00;Não;Sim;Sim
Casa;Centro;2;3;0;R$ 4.500,00;Não;Sim;Sim
Casa;Centro;3;3;2;R$ 3.000,00;Sim;Sim;Sim
Casa;Centro;2;1;0;R$ 2.300,00;Não;Sim;Sim
Casa;Jardim Alvorada;6;3;1;R$ 6.000,00;Não;Sim;Sim
Casa;Jardim Alvorada;3;1;0;R$ 2.000,00;Não;Sim;Sim
Casa;Jardim Alvorada;2;2;1;R$ 1.500,00;Sim;Não;Sim
Casa;Morro Santana;3;1;1;R$ 1.800,00;Não;Sim;Sim
Casa;Morro Santana;3;1;0;R$ 1.000,00;Não;Não;Sim
Casa;Morro Santana;3;1;0;R$ 1.000,00;Sim;Não;Sim
Casa;Morro Santana;2;1;1;R$ 900,00;Não;Não;Sim
Casa;Morro Santana;3;2;1;R$ 1.400,00;Não;Sim;Sim
Casa;Pocinho;1;1;0;R$ 600;Não;Não;Sim
Casa;Pocinho;3;1;0;R$ 1.150,00;Não;Não;Sim
Casa;Pocinho;2;1;0;R$ 800;Não;Não;Sim
Casa;Pocinho;3;1;0;R$ 1.350,00;Não;Não;Sim
Casa;Pocinho;1;1;1;R$ 700;Não;Não;Sim
Casa;Rosario;3;2;1;R$ 1.800,00;Não;Sim;Sim
Casa;Rosario;7;2;0;R$ 3.500,00;Não;Não;Sim
Casa;Rosario;3;2;0;R$ 1.500,00;Não;Não;Sim
Casa;Rosario;2;1;1;R$ 2.000,00;Não;Não;Sim
Casa;Rosário;2;1;0;R$ 1.800;Não;Não;Sim
Casa;São Cristovão;2;1;1;R$ 1.000,00;Não;Não ;Sim
Casa;São Cristovão;2;2;0;R$ 1.000,00;Não;Não;Sim
Casa;São Cristovão;4;2;1;R$ 1.800,00;Não;Não;Sim
Casa;São Cristovão;3;1;1;R$ 950,00;Não;Não;Sim
Casa;São Cristovão;3;1;0;R$ 1.500,00;Não;Sim;Sim
Casa;Saramenha;2;1;0;R$ 1.200,00;Não;Sim;Sim
Casa;Saramenha;2;1;1;R$ 1.200,00;Não;Não;Sim
Casa;Saramenha;2;1;1;R$ 1.300,00;Não;Sim;Sim
Casa;Saramenha;4;3;1;R$ 3.800,00;Não;Sim;Sim
Casa;Saramenha;1;1;0;R$ 1.000,00;Não;Não;Não
Casa;Vila Aparecida;3;1;0;R$ 1.400,00;Não;Não;Sim
Casa;Vila Aparecida;3;1;0;R$ 1.500;Não;Sim;Sim
Casa;Vila Aparecida;3;1;0;R$ 1.450,00;Não;Sim;Sim
Casa;Vila Aparecida;1;1;1;R$ 1.100,00;Não;Não;Sim
Casa;Vila Aparecida;2;2;0;R$ 1.300;Sim;Sim;Sim
Apartamento;Barra;1;1;0;R$ 1.150,00;Sim;Não;Não
Apartamento;Barra;1;1;0;R$ 900,00;Não;Não;Não
Apartamento;Barra;2;1;0;R$ 1.200,00;Não;Não;Sim
Apartamento;Barra;2;1;1;R$ 1.400,00;Sim;Sim;Sim
Apartamento;Barra;1;1;0;R$ 1.100,00;Sim;Sim;Não
